# Finding I bench log, 4 September 2026, filtered by filter_I.py: hex dumps removed, per-packet chatter kept only around the key events of each transfer
[03:46.088] app   | [useBleListeners] RAW_TX received for D6:47:9B:89:E7:23: ver
[06:08.356] app   | [FileTransfer] LOG: {"transferId":"ftx-1788467786317-lq58yg","deviceId":"D6:47:9B:89:E7:23","filename":"LARGE.BIN","sizeBytes":512000,"crc":768,"maxPayloadBytes":241,"totalPackets":2125,"startTime":"2026-09-03T20:36:26.317Z","endTime":"2026-09-03T20:38:02.415Z","durationMs":96098,"packetsAcked":2125,"lastAckedPacket":85,"wrapCycles":0,"finalStatus":"success","disconnectOccurred":false,"crcVerified":true,"platform":"android","appVersion":"0.0.64"}
[06:08.356] app   | [TextStreamScope] Destroyed for device D6:47:9B
[06:08.356] app   | [BleTransport] Lock released by 'ftx-1788467786317-lq58yg'
[06:08.356] app   | [BLE Heartbeat] UART heartbeat paused state changed to: false
[06:08.356] app   | [FileTransfer] Pipeline cleanup complete
[06:08.657] nrf   | <info> app: NUS TX Ready
[06:08.657] nrf   | <info> app: Conn params applied: interval 156 units (195ms), timeout 4000ms
[06:09.571] nrf   | <info> app: !120 
[06:09.571] nrf   | <info> app: I2C RX payload 92/250 bytes. Response type is 4. CRC OK (0xADCD)
[06:09.571] nrf   | <info> app: AI state machine bumped with 'Sleep' (Current state: IDLE)
[06:09.571] nrf   | <info> app: AI processor sends stats: '27 0 0 11 96 1 500 0 1000 89 1 0 100 0 0 0 18 1 0 20 0 2 50 65 15 0 0 286 326 1 110 1 '
[06:09.571] nrf   | <info> app: AI state changed from IDLE to SLEEP
[06:09.571] nrf   | BLE out: Sent   6 bytes: 'Sleep'
[06:09.571] himax | Inactive for 1000ms
[06:09.571] himax | IMAGE Task received event 'Image Event Inactivity' (0x0a00). Rx data = 0x00000000
[06:09.571] himax | IMAGE Task state changed from 'Init' (1) to 'Save State' (5)
[06:09.571] himax | FatFS Task received event 'Save State' (0x0904). Rx data = 0x00000000
[06:09.571] himax | Saved state to SD card. Image sequence number = 27
[06:09.571] himax | FatFS task sending event 0x0a06. Tx data = 0x00000000
[06:09.571] himax | IMAGE task sending event 0x0904. Rx data = 0x00000000
[06:09.571] himax | IMAGE Task received event 'Image Event Disk Write Complete' (0x0a06). Rx data = 0x00000000
[06:09.571] himax | Image task ready to sleep.
[06:09.571] himax | IMAGE Task state changed from 'Save State' (5) to 'Uninitialised' (0)
            ... 2 per-packet lines ...
[06:09.571] himax | Sending 98 bytes: Header 4, payload 92, checksum 2 'Sleep 27 0 0 11 96 1 500 0 1000 89 1 0 100 0 0 0 18 1 0 20 0 2 50 65 15 0 0 286 326 1 110 1 '
            ... 4 per-packet lines ...
[06:09.571] himax | IF task ready to sleep.
[06:09.571] himax | DEBUG: ledFlashDisable()
[06:09.571] himax | Preparing HM0360 for MD:   HM0360 Motion Detection off.
[06:09.571] himax |    Inhibiting MD
[06:09.571] himax |    Changing mode from 2 to 2 with nFrames=1, sleepTime=0 sleepCount = 0xffff
[06:09.571] himax |  No LED flashes.
[06:09.571] himax | >>> Entering DPD at 2024:01:01 00:02:11
[06:09.590] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Sleep
            ... 1 per-packet lines ...
[06:10.174] nrf   | <info> app: Conn params applied: interval 36 units (45ms), timeout 5000ms
[06:30.673] nrf   | <info> app: Conn params applied: interval 156 units (195ms), timeout 4000ms
[07:07.623] app   | [BLE Heartbeat] 58s idle — sending heartbeat (get heartbeat)...
[07:07.629] app   | TX Hex: 67657420686561727462656174
[07:07.641] app   | Written get heartbeat to the device WILD-CNKW (08:39:01-689)
[07:07.641] app   | [useBleListeners] RAW_TX received for D6:47:9B:89:E7:23: get heartbeat
[07:07.837] nrf   | BLE in: Received  13 bytes 'get heartbeat'
[07:07.837] nrf   | BLE out: Sent  17 bytes: 'heartbeat is 12h'
[07:07.844] app   | [BLE Heartbeat] Heartbeat sent. Timer will reset on response.
[07:07.888] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: heartbeat is 12h
            ... 1 per-packet lines ...
[08:05.908] app   | [BLE Heartbeat] 58s idle — sending heartbeat (get heartbeat)...
[08:05.908] app   | TX Hex: 67657420686561727462656174
[08:05.921] app   | Written get heartbeat to the device WILD-CNKW (08:39:59-974)
[08:05.922] app   | [useBleListeners] RAW_TX received for D6:47:9B:89:E7:23: get heartbeat
[08:06.036] nrf   | BLE in: Received  13 bytes 'get heartbeat'
[08:06.036] nrf   | BLE out: Sent  17 bytes: 'heartbeat is 12h'
[08:06.096] app   | [BLE Heartbeat] Heartbeat sent. Timer will reset on response.
[08:06.198] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: heartbeat is 12h
            ... 1 per-packet lines ...
[09:02.201] nrf   | BLE in: File Tx Packet type 10, 8 bytes
[09:02.201] nrf   | <info> app:   BLE fileTx LOOPBACK 8 bytes
[09:04.217] app   | [BLE Heartbeat] 58s idle — sending heartbeat (get heartbeat)...
[09:04.222] app   | TX Hex: 67657420686561727462656174
[09:04.222] app   | Written get heartbeat to the device WILD-CNKW (08:40:58-278)
[09:04.222] app   | [useBleListeners] RAW_TX received for D6:47:9B:89:E7:23: get heartbeat
[09:04.362] nrf   | BLE in: Received  13 bytes 'get heartbeat'
[09:04.362] nrf   | BLE out: Sent  17 bytes: 'heartbeat is 12h'
[09:04.374] app   | [BLE Heartbeat] Heartbeat sent. Timer will reset on response.
[09:04.498] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: heartbeat is 12h
            ... 1 per-packet lines ...
[09:07.120] nrf   | BLE in: File Tx Packet type 10, 8 bytes
[09:07.120] nrf   | <info> app:   BLE fileTx LOOPBACK 8 bytes
[09:12.374] nrf   | BLE in: File Tx Packet type 10, 8 bytes
[09:12.374] nrf   | <info> app:   BLE fileTx LOOPBACK 8 bytes
[09:17.613] nrf   | BLE in: File Tx Packet type 10, 8 bytes
[09:17.613] nrf   | <info> app:   BLE fileTx LOOPBACK 8 bytes
[09:22.852] nrf   | BLE in: File Tx Packet type 10, 8 bytes
[09:22.852] nrf   | <info> app:   BLE fileTx LOOPBACK 8 bytes
[09:28.384] nrf   | BLE in: File Tx Packet type 10, 8 bytes
[09:28.384] nrf   | <info> app:   BLE fileTx LOOPBACK 8 bytes
[09:33.643] nrf   | BLE in: File Tx Packet type 10, 8 bytes
[09:33.643] nrf   | <info> app:   BLE fileTx LOOPBACK 8 bytes
[09:38.887] nrf   | BLE in: File Tx Packet type 10, 8 bytes
[09:38.887] nrf   | <info> app:   BLE fileTx LOOPBACK 8 bytes
[09:44.164] nrf   | BLE in: File Tx Packet type 10, 8 bytes
[09:44.164] nrf   | <info> app:   BLE fileTx LOOPBACK 8 bytes
[09:49.448] nrf   | BLE in: File Tx Packet type 10, 8 bytes
[09:49.448] nrf   | <info> app:   BLE fileTx LOOPBACK 8 bytes
[09:54.723] nrf   | BLE in: File Tx Packet type 10, 103 bytes
[09:54.723] nrf   | <info> app:   BLE fileTx LOOPBACK 103 bytes
[09:59.986] nrf   | BLE in: File Tx Packet type 10, 103 bytes
[09:59.986] nrf   | <info> app:   BLE fileTx LOOPBACK 103 bytes
[10:02.507] app   | [BLE Heartbeat] 58s idle — sending heartbeat (get heartbeat)...
[10:02.510] app   | TX Hex: 67657420686561727462656174
[10:02.510] app   | Written get heartbeat to the device WILD-CNKW (08:41:56-573)
[10:02.510] app   | [useBleListeners] RAW_TX received for D6:47:9B:89:E7:23: get heartbeat
[10:02.647] app   | [BLE Heartbeat] Heartbeat sent. Timer will reset on response.
[10:02.750] nrf   | BLE in: Received  13 bytes 'get heartbeat'
[10:02.750] nrf   | BLE out: Sent  17 bytes: 'heartbeat is 12h'
[10:02.808] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: heartbeat is 12h
            ... 1 per-packet lines ...
[10:05.229] nrf   | BLE in: File Tx Packet type 10, 103 bytes
[10:05.229] nrf   | <info> app:   BLE fileTx LOOPBACK 103 bytes
[10:10.483] nrf   | BLE in: File Tx Packet type 10, 103 bytes
[10:10.483] nrf   | <info> app:   BLE fileTx LOOPBACK 103 bytes
[10:15.722] nrf   | BLE in: File Tx Packet type 10, 103 bytes
[10:15.722] nrf   | <info> app:   BLE fileTx LOOPBACK 103 bytes
[10:20.948] nrf   | BLE in: File Tx Packet type 10, 103 bytes
[10:20.948] nrf   | <info> app:   BLE fileTx LOOPBACK 103 bytes
[10:26.200] nrf   | BLE in: File Tx Packet type 10, 103 bytes
[10:26.200] nrf   | <info> app:   BLE fileTx LOOPBACK 103 bytes
[10:31.436] nrf   | BLE in: File Tx Packet type 10, 103 bytes
[10:31.436] nrf   | <info> app:   BLE fileTx LOOPBACK 103 bytes
[10:36.725] nrf   | BLE in: File Tx Packet type 10, 103 bytes
[10:36.725] nrf   | <info> app:   BLE fileTx LOOPBACK 103 bytes
[10:41.982] nrf   | BLE in: File Tx Packet type 10, 103 bytes
[10:41.982] nrf   | <info> app:   BLE fileTx LOOPBACK 103 bytes
[10:47.231] nrf   | BLE in: File Tx Packet type 10, 244 bytes
[10:47.231] nrf   | <info> app:   BLE fileTx LOOPBACK 244 bytes
[10:52.518] nrf   | BLE in: File Tx Packet type 10, 244 bytes
[10:52.518] nrf   | <info> app:   BLE fileTx LOOPBACK 244 bytes
[10:57.788] nrf   | BLE in: File Tx Packet type 10, 244 bytes
[10:57.788] nrf   | <info> app:   BLE fileTx LOOPBACK 244 bytes
[11:00.821] app   | [BLE Heartbeat] 58s idle — sending heartbeat (get heartbeat)...
[11:00.822] app   | TX Hex: 67657420686561727462656174
[11:00.827] app   | Written get heartbeat to the device WILD-CNKW (08:42:54-887)
[11:00.827] app   | [useBleListeners] RAW_TX received for D6:47:9B:89:E7:23: get heartbeat
[11:00.934] app   | [BLE Heartbeat] Heartbeat sent. Timer will reset on response.
[11:01.111] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: heartbeat is 12h
[11:01.208] nrf   | BLE in: Received  13 bytes 'get heartbeat'
[11:01.208] nrf   | BLE out: Sent  17 bytes: 'heartbeat is 12h'
            ... 1 per-packet lines ...
[11:03.064] nrf   | BLE in: File Tx Packet type 10, 244 bytes
[11:03.064] nrf   | <info> app:   BLE fileTx LOOPBACK 244 bytes
[11:08.330] nrf   | BLE in: File Tx Packet type 10, 244 bytes
[11:08.330] nrf   | <info> app:   BLE fileTx LOOPBACK 244 bytes
[11:13.573] nrf   | BLE in: File Tx Packet type 10, 244 bytes
[11:13.573] nrf   | <info> app:   BLE fileTx LOOPBACK 244 bytes
[11:18.818] nrf   | BLE in: File Tx Packet type 10, 244 bytes
[11:18.818] nrf   | <info> app:   BLE fileTx LOOPBACK 244 bytes
[11:24.074] nrf   | BLE in: File Tx Packet type 10, 244 bytes
[11:24.074] nrf   | <info> app:   BLE fileTx LOOPBACK 244 bytes
[11:29.644] nrf   | BLE in: File Tx Packet type 10, 244 bytes
[11:29.644] nrf   | <info> app:   BLE fileTx LOOPBACK 244 bytes
[11:34.567] nrf   | BLE in: File Tx Packet type 10, 244 bytes
[11:34.567] nrf   | <info> app:   BLE fileTx LOOPBACK 244 bytes
[11:59.136] app   | [BLE Heartbeat] 58s idle — sending heartbeat (get heartbeat)...
[11:59.140] app   | TX Hex: 67657420686561727462656174
[11:59.145] app   | Written get heartbeat to the device WILD-CNKW (08:43:53-208)
[11:59.146] app   | [useBleListeners] RAW_TX received for D6:47:9B:89:E7:23: get heartbeat
[11:59.246] nrf   | BLE in: Received  13 bytes 'get heartbeat'
[11:59.246] nrf   | BLE out: Sent  17 bytes: 'heartbeat is 12h'
[11:59.336] app   | [BLE Heartbeat] Heartbeat sent. Timer will reset on response.
[11:59.414] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: heartbeat is 12h
            ... 1 per-packet lines ...
[12:57.434] app   | [BLE Heartbeat] 58s idle — sending heartbeat (get heartbeat)...
[12:57.434] app   | TX Hex: 67657420686561727462656174
[12:57.451] app   | Written get heartbeat to the device WILD-CNKW (08:44:51-508)
[12:57.451] app   | [useBleListeners] RAW_TX received for D6:47:9B:89:E7:23: get heartbeat
[12:57.659] app   | [BLE Heartbeat] Heartbeat sent. Timer will reset on response.
[12:57.721] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: heartbeat is 12h
[12:57.781] nrf   | BLE in: Received  13 bytes 'get heartbeat'
[12:57.781] nrf   | BLE out: Sent  17 bytes: 'heartbeat is 12h'
            ... 1 per-packet lines ...
