# fix205-verification-part2-blank-card
# Started 2026-09-04 19:00:58. Times are MM:SS.mmm from the start of the capture.
# himax = COM6 @ 921600 (given)
# nrf   = COM5 @ 115200 (given)
#
# Filtered: hex dumps, nRF <info>/<debug> chatter and the app's RAW_RX lines removed. Sweep driver: repro_A_fix.py, delays 520..600 ms.
[01:49.420] app   | TX Hex: 414920736c6f7473
[02:24.524] himax |   Timelapse disabled.
[02:24.524] himax | IF Task received event 'FreeRTOS Initialised' (0x0710). Rx data = 0x00000000
[02:24.524] himax | Assert inter-processor interrupt.
[02:24.524] himax | Sending 31 bytes: Header 4, payload 25, checksum 2 'Wake 2024-01-01T00:00:09Z'
[02:24.524] himax | Negate inter-processor interrupt.
[02:24.524] himax | IF Task state changed from 'Idle' (1) to 'I2C TX State' (3)
[02:24.524] himax | IF Task received event 'I2C Tx' (0x0701). Rx data = 0x00000000
[02:24.524] himax | I2C transmission complete.
[02:24.524] himax | IF Task state changed from 'I2C TX State' (3) to 'Idle' (1)
[02:24.524] himax | IF Task received event 'I2C Rx' (0x0700). Rx data = 0x00000000
[02:24.524] himax | Received I2C message.
[02:24.524] himax | MKL62BA command received: 'selftest'
[02:24.524] himax | selfTest 0000
[02:24.524] himax | IF Task state changed from 'Idle' (1) to 'I2C RX State' (2)
[02:24.524] himax | IF Task received event 'String Response' (0x0703). Rx data = 0x3000eab0
[02:24.524] himax | Assert inter-processor interrupt.
[02:24.524] himax | Sending 19 bytes: Header 4, payload 13, checksum 2 'selfTest 0000'
[02:24.524] himax | Negate inter-processor interrupt.
[02:24.524] himax | IF Task state changed from 'I2C RX State' (2) to 'I2C TX State' (3)
[02:24.825] himax | IF Task received event 'I2C Tx' (0x0701). Rx data = 0x00000000
[02:24.825] himax | I2C transmission complete.
[02:24.825] himax | IF Task state changed from 'I2C TX State' (3) to 'Idle' (1)
[02:24.825] himax | IF Task received event 'I2C Rx' (0x0700). Rx data = 0x00000000
[02:24.825] himax | Received I2C message.
[02:24.825] himax | MKL62BA command received: 'slots'
[02:24.825] himax | IF Task state changed from 'Idle' (1) to 'I2C RX State' (2)
[02:24.825] himax | Flash ID 0xEF initialised
[02:24.825] himax | Active slot 1 running 'RP3 (day/colour)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off
[02:24.825] himax | IF Task received event 'String Response' (0x0703). Rx data = 0x3000eab0
[02:24.825] himax | Assert inter-processor interrupt.
[02:24.825] himax | Sending 121 bytes: Header 4, payload 115, checksum 2 'Active slot 1 running 'RP3 (day/colour)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off'
[02:24.825] himax | Negate inter-processor interrupt.
[02:24.825] himax | IF Task state changed from 'I2C RX State' (2) to 'I2C TX State' (3)
[02:24.825] himax | IF Task received event 'I2C Tx' (0x0701). Rx data = 0x00000000
[02:24.825] himax | I2C transmission complete.
[02:24.825] himax | IF Task state changed from 'I2C TX State' (3) to 'Idle' (1)
[02:24.875] app   | TX Hex: 414920736c6f7473
[02:24.932] app   | Written AI slots to the device WILD-CNKW (19:03:22-136)
[02:24.932] app   | [useBleListeners] RAW_TX received for D6:47:9B:89:E7:23: AI slots
[02:24.957] nrf   | BLE out: Sent   5 bytes: 'Wake'
[02:24.957] nrf   | BLE out: Sent  20 bytes: 'Error bits = 0x0000'
[02:24.958] nrf   | BLE out: Sent 116 bytes: 'Active slot 1 running 'RP3 (day/colour)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off'
[02:25.140] himax | IF Task received event 'I2C Rx' (0x0700). Rx data = 0x00000000
[02:25.140] himax | Received I2C message.
[02:25.140] himax | MKL62BA command received: 'slots'
[02:25.140] himax | Active slot 1 running 'RP3 (day/colour)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off
[02:25.140] himax | IF Task state changed from 'Idle' (1) to 'I2C RX State' (2)
[02:25.140] himax | IF Task received event 'String Response' (0x0703). Rx data = 0x3000eab0
[02:25.140] himax | Assert inter-processor interrupt.
[02:25.140] himax | Sending 121 bytes: Header 4, payload 115, checksum 2 'Active slot 1 running 'RP3 (day/colour)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off'
[02:25.140] himax | Negate inter-processor interrupt.
[02:25.140] himax | IF Task state changed from 'I2C RX State' (2) to 'I2C TX State' (3)
[02:25.140] himax | IF Task received event 'I2C Tx' (0x0701). Rx data = 0x00000000
[02:25.140] himax | I2C transmission complete.
[02:25.140] himax | IF Task state changed from 'I2C TX State' (3) to 'Idle' (1)
[02:25.259] nrf   | BLE in: Received   8 bytes 'AI slots'
[02:25.259] nrf   | BLE out: Sent 116 bytes: 'Active slot 1 running 'RP3 (day/colour)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off'
[02:26.058] himax | Inactive for 1000ms
[02:26.058] himax | IMAGE Task received event 'Image Event Inactivity' (0x0a00). Rx data = 0x00000000
[02:26.058] himax | IMAGE Task state changed from 'Init' (1) to 'Save State' (5)
[02:26.058] himax | FatFS Task received event 'Save State' (0x0904). Rx data = 0x00000000
[02:26.058] himax | Saved state to SD card. Image sequence number = 0
[02:26.058] himax | FatFS task sending event 0x0a06. Tx data = 0x00000000
[02:26.058] himax | IMAGE task sending event 0x0904. Rx data = 0x00000000
[02:26.058] himax | IMAGE Task received event 'Image Event Disk Write Complete' (0x0a06). Rx data = 0x00000000
[02:26.058] himax | Image task ready to sleep.
[02:26.058] himax | IMAGE Task state changed from 'Save State' (5) to 'Uninitialised' (0)
[02:26.058] himax | IF Task received event 'Inactivity' (0x070e). Rx data = 0x00000000
[02:26.058] himax | Assert inter-processor interrupt.
[02:26.058] himax | Sending 103 bytes: Header 4, payload 97, checksum 2 'Sleep 0 0 0 1 3 1 500 0 1000 5 1 0 100 0 0 0 18 1 0 0 0 2 50 65 15 0 0 286 326 1 110 1 0 0 0 0 0 '
[02:26.058] himax | Negate inter-processor interrupt.
[02:26.058] himax | IF Task state changed from 'Idle' (1) to 'I2C TX State' (3)
[02:26.175] nrf   | BLE out: Sent   6 bytes: 'Sleep'
[02:26.358] himax | IF Task received event 'I2C Tx' (0x0701). Rx data = 0x00000000
[02:26.358] himax | I2C transmission complete.
[02:26.358] himax | IF task ready to sleep.
[02:26.358] himax | DEBUG: ledFlashDisable()
[02:26.358] himax | Preparing HM0360 for MD:   HM0360 Motion Detection off.
[02:26.358] himax |    Inhibiting MD
[02:26.358] himax |    Changing mode from 2 to 2 with nFrames=1, sleepTime=0 sleepCount = 0xffff
[02:26.358] himax |  No LED flashes.
[02:26.358] himax | >>> Entering DPD at 2024:01:01 00:00:11
[02:35.882] app   | TX Hex: 414920736c6f7473
[02:35.932] app   | Written AI slots to the device WILD-CNKW (19:03:33-142)
[02:35.932] app   | [useBleListeners] RAW_TX received for D6:47:9B:89:E7:23: AI slots
[02:36.124] himax | 1st BL Modem Build DATE=Jan 17 2025, Version: 2.12
[02:36.124] himax | slot flash_offset 0x00100000
[02:36.124] himax | New MemDesp himax_sec_SB_image_process PASS
[02:36.124] himax | set_memory_s_ns
[02:36.124] himax | HX_DSP_FLAG 1
[02:36.124] himax | jump_addr=0x10000000
[02:36.124] himax | Compiler Version: ARM GNU, 14.3.1 20250623
[02:36.124] himax | **** WW500 MD. (WW500_C02) Built: 16:45:52 Sep  4 2026 ****
[02:36.124] himax | Git branch: 'nogit' nogit-dirty
[02:36.124] himax | Compiler Version: ARM GNU, 14.3.1 20250623
[02:36.124] himax | Wakeup_event = 0x0000, WakeupEvt1 = 0x0001 WAKE signal
[02:36.124] himax | Camera: RP v3 (IMX708)
[02:36.124] himax | Enabling RP SENSOR_ENABLE
[02:36.240] nrf   | BLE in: Received   8 bytes 'AI slots'
[02:36.424] himax | PCA9574 present at 0x20
[02:36.424] himax | DEBUG: ledFlashSelectLED(0)
[02:36.424] himax | Initialised LED Flash
[02:36.424] himax | HM0360 present at 0x24
[02:36.424] himax | Main camera present at 0x1a
[02:36.424] himax | Disabling RP SENSOR_ENABLE
[02:36.424] himax | ### Warm Boot ###
[02:36.424] himax | Woke at 2024:01:01 00:00:11 
[02:36.424] himax | BLE wake
[02:36.424] himax | Initialising FreeRTOS tasks
[02:36.424] himax | Created task 'CLI' Priority 4
[02:36.424] himax | Created task 'IFTask' Priority 3
[02:36.424] himax | Created task 'FAT' Priority 2
[02:36.424] himax | Created task 'IMAGE' Priority 1
[02:36.424] himax | FreeRTOS scheduler started.
[02:36.424] himax | Starting CLI Task
[02:36.424] himax | Enter 'help' to view a list of available commands.
[02:36.424] himax | cmd> Starting IFTask
[02:36.424] himax | I2C slave instance 0 configured at address 0x62
[02:36.424] himax | I2C buffers have 256 bytes, payload is 244
[02:36.424] himax | Starting FatFS Task
[02:36.725] himax | Mounting FatFS on SD card OK
[02:36.725] himax | Directory '/MANIFEST' exists
[02:36.725] himax | SD card initialised. CWD is '0:/'
[02:36.725] himax | Loading configuration: CWD is '0:/MANIFEST'
[02:36.725] himax | 'CONFIG.TXT' found. (Next image #0), camera enabled. Flash brightness 5
[02:36.725] himax | Retaining existing images directory (0 <= 100) '/MEDIA/00000000/IMAGES.000'
[02:36.725] himax | Directory '/MEDIA/00000000/IMAGES.000' exists
[02:36.725] himax | FatFs setup took 247ms
[02:36.725] himax | Inactivity period set at 1000ms
[02:36.725] himax | IF Task received event 'Awake' (0x070f). Rx data = 0x00000000
[02:36.725] himax | Starting Image Task
[02:36.725] himax | Image 2304 x 1296. Raw buffer 460800. JPEG buffer 115860. JPEG compression x4
[02:36.725] himax | Enabling RP SENSOR_ENABLE
[02:36.725] himax | Initialising IMX708 at 0x1a (p.u. delay 100ms)
[02:36.725] himax | Memory allocated: 460800 for raw buffer, 115860 for JPEG, 100 for JPEG header
[02:36.725] himax | mclk DIV3, xshutdown_pin=82
[02:36.725] himax | IMX708 Init by app (IMX708_common_setting)
[02:36.725] himax | Get IMX708_REG_BASE_SPC_GAINS_L = 0x40
[02:36.725] himax | Init IMX708 Default PDAF pixel correction gains 
[02:36.725] himax | IMX708 Init by app (IMX708_2304x1296_setting)
[02:36.725] himax | IMX708 EXPOSURE(0x0940) by app (IMX708_exposure_setting)
[02:36.725] himax | IMX708 Init by app (IMX708_link_450Mhz_regs)
[02:36.725] himax | Quad Bayer re-mosaic adjustments ON
[02:36.725] himax | IMX708 Init by app (IMX708_mirror_setting)
[02:36.725] himax | CWD is '0:/MANIFEST'
[02:36.725] himax | Error opening '0:/RPV3_EX.BIN': 4
[02:36.725] himax | WD1[340a6ba0], WD2_J[340a6ba0], WD3_RAW[340363a0], JPAuto[34036320]
[02:36.725] himax | MIPI CLK change to PLL freq:(400000000 / 2)
[02:36.725] himax | MIPI TX CLK: 200M
[02:36.725] himax | t_input: 12943ns
[02:36.725] himax | t_output: 11520ns
[02:36.725] himax | t_preload: 185ns
[02:36.725] himax | MIPI RX FIFO FILL: 70
[02:36.725] himax | MIPI TX FIFO FILL: 0
[02:36.725] himax | RESET MIPI CSI RX/TX
[02:36.725] himax | sensor_type: 15
[02:36.725] himax | DEBUG: ledFlashBrightness(5%) [brbits = 0x0]
[02:36.725] himax | DEBUG: ledFlashSelectLED(0)
[02:36.725] himax | [LS] In ledFlashSetFlashModeFromOpParam with 0 Mode 0
[02:36.725] himax | DEBUG: ledFlashDisable()
[02:36.725] himax | Not initialising NN (project ID is 0)
[02:36.725] himax | No model found.
[02:36.725] himax | NN Initialisation took 9ms TODO - consider doing this after taking the picture!
[02:36.725] himax | Image sensor and data path initialised for camera RP v3
[02:36.725] himax |   Camera system enabled.
[02:36.725] himax |   Neural network disabled.
[02:36.725] himax |   Flash LED(s) in use: 0
[02:36.725] himax |   Flash brightness: 5%
[02:36.725] himax |   Flash is currently not armed.
[02:36.725] himax |   Flash duration 100ms
[02:36.725] himax |   MD disabled.
[02:36.725] himax |   Timelapse disabled.
[02:36.725] himax | IF Task received event 'FreeRTOS Initialised' (0x0710). Rx data = 0x00000000
[02:36.725] himax | Assert inter-processor interrupt.
[02:36.725] himax | Sending 31 bytes: Header 4, payload 25, checksum 2 'Wake 2024-01-01T00:00:11Z'
[02:36.725] himax | Negate inter-processor interrupt.
[02:36.725] himax | IF Task state changed from 'Idle' (1) to 'I2C TX State' (3)
[02:36.725] himax | IF Task received event 'I2C Tx' (0x0701). Rx data = 0x00000000
[02:36.725] himax | I2C transmission complete.
[02:36.725] himax | IF Task state changed from 'I2C TX State' (3) to 'Idle' (1)
[02:37.041] himax | IF Task received event 'I2C Rx' (0x0700). Rx data = 0x00000000
[02:37.041] himax | Received I2C message.
[02:37.041] himax | MKL62BA command received: 'selftest'
[02:37.041] himax | selfTest 0000
[02:37.041] himax | IF Task state changed from 'Idle' (1) to 'I2C RX State' (2)
[02:37.041] himax | IF Task received event 'String Response' (0x0703). Rx data = 0x3000eab0
[02:37.041] himax | Assert inter-processor interrupt.
[02:37.041] himax | Sending 19 bytes: Header 4, payload 13, checksum 2 'selfTest 0000'
[02:37.041] himax | Negate inter-processor interrupt.
[02:37.041] himax | IF Task state changed from 'I2C RX State' (2) to 'I2C TX State' (3)
[02:37.041] himax | IF Task received event 'I2C Tx' (0x0701). Rx data = 0x00000000
[02:37.041] himax | I2C transmission complete.
[02:37.041] himax | IF Task state changed from 'I2C TX State' (3) to 'Idle' (1)
[02:37.041] himax | IF Task received event 'I2C Rx' (0x0700). Rx data = 0x00000000
[02:37.041] himax | Received I2C message.
[02:37.041] himax | MKL62BA command received: 'slots'
[02:37.041] himax | IF Task state changed from 'Idle' (1) to 'I2C RX State' (2)
[02:37.041] himax | Flash ID 0xEF initialised
[02:37.041] himax | Active slot 1 running 'RP3 (day/colour)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off
[02:37.041] himax | IF Task received event 'String Response' (0x0703). Rx data = 0x3000eab0
[02:37.041] himax | Assert inter-processor interrupt.
[02:37.041] himax | Sending 121 bytes: Header 4, payload 115, checksum 2 'Active slot 1 running 'RP3 (day/colour)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off'
[02:37.041] himax | Negate inter-processor interrupt.
[02:37.041] himax | IF Task state changed from 'I2C RX State' (2) to 'I2C TX State' (3)
[02:37.041] himax | IF Task received event 'I2C Tx' (0x0701). Rx data = 0x00000000
[02:37.041] himax | I2C transmission complete.
[02:37.041] himax | IF Task state changed from 'I2C TX State' (3) to 'Idle' (1)
[02:37.156] nrf   | BLE out: Sent   5 bytes: 'Wake'
[02:37.156] nrf   | BLE out: Sent  20 bytes: 'Error bits = 0x0000'
[02:37.156] nrf   | BLE out: Sent 116 bytes: 'Active slot 1 running 'RP3 (day/colour)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off'
[02:37.856] app   | TX Hex: 414920736c6f7473
[02:37.948] app   | Written AI slots to the device WILD-CNKW (19:03:35-152)
[02:37.948] app   | [useBleListeners] RAW_TX received for D6:47:9B:89:E7:23: AI slots
[02:37.957] himax | Inactive for 1000ms
[02:37.957] himax | IMAGE Task received event 'Image Event Inactivity' (0x0a00). Rx data = 0x00000000
[02:37.957] himax | IMAGE Task state changed from 'Init' (1) to 'Save State' (5)
[02:37.957] himax | FatFS Task received event 'Save State' (0x0904). Rx data = 0x00000000
[02:38.257] himax | Saved state to SD card. Image sequence number = 0
[02:38.257] himax | FatFS task sending event 0x0a06. Tx data = 0x00000000
[02:38.257] himax | IMAGE task sending event 0x0904. Rx data = 0x00000000
[02:38.257] himax | IMAGE Task received event 'Image Event Disk Write Complete' (0x0a06). Rx d
[02:38.257] himax | IF Task received event 'I2C Rx' (0x0700). Rx data = 0x00000000
[02:38.257] himax | Received I2C message.
[02:38.257] himax | MKL62BA command received: 'slots'
[02:38.257] himax | Active slot 1 running 'RP3 (day/colour)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off
[02:38.257] himax | IF Task state changed from 'Idle' (1) to 'I2C RX State' (2)
[02:38.257] himax | IF Task received event 'String Response' (0x0703). Rx data = 0x3000eab0
[02:38.257] himax | Assert inter-processor interrupt.
[02:38.257] himax | Sending 121 bytes: Header 4, payload 115, checksum 2 'Active slot 1 running 'RP3 (day/colour)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off'
[02:38.257] himax | Negate inter-processor interrupt.
[02:38.257] himax | IF Task state changed from 'I2C RX State' (2) to 'I2C TX State' (3)
[02:38.257] himax | ata = 0x00000000
[02:38.257] himax | Image task ready to sleep.
[02:38.257] himax | IMAGE Task state changed from 'Save State' (5) to 'Uninitialised' (0)
[02:38.257] himax | IF Task received event 'Inactivity' (0x070e). Rx data = 0x00000000
[02:38.257] himax | Deferring event 0x070e
[02:38.257] himax | IF Task received event 'I2C Tx' (0x0701). Rx data = 0x00000000
[02:38.257] himax | I2C transmission complete.
[02:38.257] himax | IF Task state changed from 'I2C TX State' (3) to 'Idle' (1)
[02:38.257] himax | Issuing deferred event 0x070e 'Inactivity'
[02:38.257] himax | IFTask sending event 0x070e. Tx data = 0x00000000
[02:38.257] himax | IF Task received event 'Inactivity' (0x070e). Rx data = 0x00000000
[02:38.257] himax | Assert inter-processor interrupt.
[02:38.257] himax | Sending 103 bytes: Header 4, payload 97, checksum 2 'Sleep 0 0 0 1 4 1 500 0 1000 5 1 0 100 0 0 0 18 1 0 0 0 2 50 65 15 0 0 286 326 1 110 1 0 0 0 0 0 '
[02:38.257] himax | Negate inter-processor interrupt.
[02:38.257] himax | IF Task state changed from 'Idle' (1) to 'I2C TX State' (3)
[02:38.257] himax | IF Task received event 'I2C Tx' (0x0701). Rx data = 0x00000000
[02:38.257] himax | I2C transmission complete.
[02:38.257] himax | IF task ready to sleep.
[02:38.257] himax | DEBUG: ledFlashDisable()
[02:38.257] himax | Preparing HM0360 for MD:   HM0360 Motion Detection off.
[02:38.257] himax |    Inhibiting MD
[02:38.257] himax |    Changing mode from 2 to 2 with nFrames=1, sleepTime=0 sleepCount = 0xffff
[02:38.257] himax |  No LED flashes.
[02:38.257] himax | >>> Entering DPD at 2024:01:01 00:00:13
[02:38.374] nrf   | BLE in: Received   8 bytes 'AI slots'
[02:38.374] nrf   | BLE out: Sent 116 bytes: 'Active slot 1 running 'RP3 (day/colour)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off'
[02:38.374] nrf   | BLE out: Sent   6 bytes: 'Sleep'
[02:47.684] app   | TX Hex: 414920736c6f7473
[02:47.743] app   | Written AI slots to the device WILD-CNKW (19:03:44-949)
[02:47.744] app   | [useBleListeners] RAW_TX received for D6:47:9B:89:E7:23: AI slots
[02:47.791] nrf   | BLE in: Received   8 bytes 'AI slots'
[02:48.007] himax | 1st BL Modem Build DATE=Jan 17 2025, Version: 2.12
[02:48.007] himax | slot flash_offset 0x00100000
[02:48.007] himax | New MemDesp himax_sec_SB_image_process PASS
[02:48.007] himax | set_memory_s_ns
[02:48.007] himax | HX_DSP_FLAG 1
[02:48.007] himax | jump_addr=0x10000000
[02:48.007] himax | Compiler Version: ARM GNU, 14.3.1 20250623
[02:48.007] himax | **** WW500 MD. (WW500_C02) Built: 16:45:52 Sep  4 2026 ****
[02:48.007] himax | Git branch: 'nogit' nogit-dirty
[02:48.007] himax | Compiler Version: ARM GNU, 14.3.1 20250623
[02:48.007] himax | Wakeup_event = 0x0000, WakeupEvt1 = 0x0001 WAKE signal
[02:48.007] himax | Camera: RP v3 (IMX708)
[02:48.007] himax | Enabling RP SENSOR_ENABLE
[02:48.007] himax | PCA9574 present at 0x20
[02:48.007] himax | DEBUG: ledFlashSelectLED(0)
[02:48.007] himax | Initialised LED Flash
[02:48.007] himax | HM0360 present at 0x24
[02:48.007] himax | Main camera present at 0x1a
[02:48.007] himax | Disabling RP SENSOR_ENABLE
[02:48.007] himax | ### Warm Boot ###
[02:48.007] himax | Woke at 2024:01:01 00:00:13 
[02:48.007] himax | BLE wake
[02:48.007] himax | Initialising FreeRTOS tasks
[02:48.007] himax | Created task 'CLI' Priority 4
[02:48.007] himax | Created task 'IFTask' Priority 3
[02:48.007] himax | Created task 'FAT' Priority 2
[02:48.007] himax | Created task 'IMAGE' Priority 1
[02:48.007] himax | FreeRTOS scheduler started.
[02:48.007] himax | Starting CLI Task
[02:48.007] himax | Enter 'help' to view a list of available commands.
[02:48.007] himax | cmd> Starting IFTask
[02:48.007] himax | I2C slave instance 0 configured at address 0x62
[02:48.007] himax | I2C buffers have 256 bytes, payload is 244
[02:48.007] himax | Starting FatFS Task
[02:48.307] himax | Mounting FatFS on SD card OK
[02:48.307] himax | Directory '/MANIFEST' exists
[02:48.307] himax | SD card initialised. CWD is '0:/'
[02:48.307] himax | Loading configuration: CWD is '0:/MANIFEST'
[02:48.307] himax | 'CONFIG.TXT' found. (Next image #0), camera enabled. Flash brightness 5
[02:48.307] himax | Retaining existing images directory (0 <= 100) '/MEDIA/00000000/IMAGES.000'
[02:48.307] himax | Directory '/MEDIA/00000000/IMAGES.000' exists
[02:48.307] himax | FatFs setup took 247ms
[02:48.307] himax | Inactivity period set at 1000ms
[02:48.307] himax | IF Task received event 'Awake' (0x070f). Rx data = 0x00000000
[02:48.307] himax | Starting Image Task
[02:48.307] himax | Image 2304 x 1296. Raw buffer 460800. JPEG buffer 115860. JPEG compression x4
[02:48.307] himax | Enabling RP SENSOR_ENABLE
[02:48.307] himax | Initialising IMX708 at 0x1a (p.u. delay 100ms)
[02:48.307] himax | Memory allocated: 460800 for raw buffer, 115860 for JPEG, 100 for JPEG header
[02:48.307] himax | mclk DIV3, xshutdown_pin=82
[02:48.307] himax | IMX708 Init by app (IMX708_common_setting)
[02:48.307] himax | Get IMX708_REG_BASE_SPC_GAINS_L = 0x40
[02:48.307] himax | Init IMX708 Default PDAF pixel correction gains 
[02:48.593] himax | IMX708 Init by app (IMX708_2304x1296_setting)
[02:48.593] himax | IMX708 EXPOSURE(0x0940) by app (IMX708_exposure_setting)
[02:48.593] himax | IMX708 Init by app (IMX708_link_450Mhz_regs)
[02:48.593] himax | Quad Bayer re-mosaic adjustments ON
[02:48.593] himax | IMX708 Init by app (IMX708_mirror_setting)
[02:48.593] himax | CWD is '0:/MANIFEST'
[02:48.593] himax | Error opening '0:/RPV3_EX.BIN': 4
[02:48.593] himax | WD1[340a6ba0], WD2_J[340a6ba0], WD3_RAW[340363a0], JPAuto[34036320]
[02:48.593] himax | MIPI CLK change to PLL freq:(400000000 / 2)
[02:48.593] himax | MIPI TX CLK: 200M
[02:48.593] himax | t_input: 12943ns
[02:48.593] himax | t_output: 11520ns
[02:48.593] himax | t_preload: 185ns
[02:48.593] himax | MIPI RX FIFO FILL: 70
[02:48.593] himax | MIPI TX FIFO FILL: 0
[02:48.593] himax | RESET MIPI CSI RX/TX
[02:48.593] himax | sensor_type: 15
[02:48.593] himax | DEBUG: ledFlashBrightness(5%) [brbits = 0x0]
[02:48.593] himax | DEBUG: ledFlashSelectLED(0)
[02:48.593] himax | [LS] In ledFlashSetFlashModeFromOpParam with 0 Mode 0
[02:48.593] himax | DEBUG: ledFlashDisable()
[02:48.593] himax | Not initialising NN (project ID is 0)
[02:48.593] himax | No model found.
[02:48.593] himax | NN Initialisation took 9ms TODO - consider doing this after taking the picture!
[02:48.593] himax | Image sensor and data path initialised for camera RP v3
[02:48.593] himax |   Camera system enabled.
[02:48.593] himax |   Neural network disabled.
[02:48.593] himax |   Flash LED(s) in use: 0
[02:48.593] himax |   Flash brightness: 5%
[02:48.593] himax |   Flash is currently not armed.
[02:48.593] himax |   Flash duration 100ms
[02:48.593] himax |   MD disabled.
[02:48.593] himax |   Timelapse disabled.
[02:48.593] himax | IF Task received event 'FreeRTOS Initialised' (0x0710). Rx data = 0x00000000
[02:48.593] himax | Assert inter-processor interrupt.
[02:48.593] himax | Sending 31 bytes: Header 4, payload 25, checksum 2 'Wake 2024-01-01T00:00:14Z'
[02:48.593] himax | Negate inter-processor interrupt.
[02:48.593] himax | IF Task state changed from 'Idle' (1) to 'I2C TX State' (3)
[02:48.593] himax | IF Task received event 'I2C Tx' (0x0701). Rx data = 0x00000000
[02:48.593] himax | I2C transmission complete.
[02:48.593] himax | IF Task state changed from 'I2C TX State' (3) to 'Idle' (1)
[02:48.593] himax | IF Task received event 'I2C Rx' (0x0700). Rx data = 0x00000000
[02:48.593] himax | Received I2C message.
[02:48.593] himax | MKL62BA command received: 'selftest'
[02:48.593] himax | selfTest 0000
[02:48.593] himax | IF Task state changed from 'Idle' (1) to 'I2C RX State' (2)
[02:48.593] himax | IF Task received event 'String Response' (0x0703). Rx data = 0x3000eab0
[02:48.593] himax | Assert inter-processor interrupt.
[02:48.593] himax | Sending 19 bytes: Header 4, payload 13, checksum 2 'selfTest 0000'
[02:48.593] himax | Negate inter-processor interrupt.
[02:48.593] himax | IF Task state changed from 'I2C RX State' (2) to 'I2C TX State' (3)
[02:48.593] himax | IF Task received event 'I2C Tx' (0x0701). Rx data = 0x00000000
[02:48.593] himax | I2C transmission complete.
[02:48.593] himax | IF Task state changed from 'I2C TX State' (3) to 'Idle' (1)
[02:48.593] himax | IF Task received event 'I2C Rx' (0x0700). Rx data = 0x00000000
[02:48.593] himax | Received I2C message.
[02:48.593] himax | MKL62BA command received: 'slots'
[02:48.593] himax | IF Task state changed from 'Idle' (1) to 'I2C RX State' (2)
[02:48.593] himax | Flash ID 0xEF initialised
[02:48.593] himax | Active slot 1 running 'RP3 (day/colour)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off
[02:48.593] himax | IF Task received event 'String Response' (0x0703). Rx data = 0x3000eab0
[02:48.593] himax | Assert inter-processor interrupt.
[02:48.593] himax | Sending 121 bytes: Header 4, payload 115, checksum 2 'Active slot 1 running 'RP3 (day/colour)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off'
[02:48.906] himax | Negate inter-processor interrupt.
[02:48.906] himax | IF Task state changed from 'I2C RX State' (2) to 'I2C TX State' (3)
[02:48.906] himax | IF Task received event 'I2C Tx' (0x0701). Rx data = 0x00000000
[02:48.906] himax | I2C transmission complete.
[02:48.906] himax | IF Task state changed from 'I2C TX State' (3) to 'Idle' (1)
[02:49.009] nrf   | BLE out: Sent   5 bytes: 'Wake'
[02:49.009] nrf   | BLE out: Sent  20 bytes: 'Error bits = 0x0000'
[02:49.009] nrf   | BLE out: Sent 116 bytes: 'Active slot 1 running 'RP3 (day/colour)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off'
[02:49.042] app   | TX Hex: 414920736c6f7473
[02:49.108] app   | Written AI slots to the device WILD-CNKW (19:03:46-313)
[02:49.108] app   | [useBleListeners] RAW_TX received for D6:47:9B:89:E7:23: AI slots
[02:49.207] himax | IF Task received event 'I2C Rx' (0x0700). Rx data = 0x00000000
[02:49.207] himax | Received I2C message.
[02:49.207] himax | MKL62BA command received: 'slots'
[02:49.207] himax | Active slot 1 running 'RP3 (day/colour)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off
[02:49.207] himax | IF Task state changed from 'Idle' (1) to 'I2C RX State' (2)
[02:49.207] himax | IF Task received event 'String Response' (0x0703). Rx data = 0x3000eab0
[02:49.207] himax | Assert inter-processor interrupt.
[02:49.207] himax | Sending 121 bytes: Header 4, payload 115, checksum 2 'Active slot 1 running 'RP3 (day/colour)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off'
