# Finding H bench log, 3 September 2026, filtered by filter_H.py: hex dumps removed, per-packet chatter kept only around the key events
[03:43.337] nrf   | <info> app: AI state machine bumped with 'Wake' (Current state: SLEEP)
[05:26.580] himax | I2C transmission complete.
[05:26.580] himax | IF Task state changed from 'I2C TX State' (3) to 'Idle' (1)
[05:26.580] himax | IF Task received event 'Binary Continues' (0x0706). Rx data = 0x3000ea30
[05:26.580] himax | Assert inter-processor interrupt.
[05:26.580] himax | Sending 247 bytes: Header 4, payload 241, checksum 2
[05:26.580] himax | Negate inter-processor interrupt.
[05:26.580] himax | IF Task state changed from 'Idle' (1) to 'I2C TX State' (3)
[05:26.763] nrf   | BLE binary: Sending 241 byte binary payload (packet type 6, packet num 1): 
[05:26.763] nrf   | BLE out: Sent 244 bytes: '[binary]'
[05:26.763] nrf   | <info> app: I2C RX payload 241/250 bytes. Response type is 6. CRC OK (0x56B6)
[05:26.763] nrf   | <info> app: !124 
[05:26.763] nrf   | <info> app: NUS TX Ready
[05:26.763] nrf   | BLE binary: Sending 241 byte binary payload (packet type 6, packet num 2): 
[05:26.763] nrf   | BLE out: Sent 244 bytes: '[binary]'
[05:26.763] nrf   | <info> app: DEBUG: we waited 1ms for BLE transfer.
[05:26.763] nrf   | <info> app: I2C RX payload 241/250 bytes. Response type is 6. CRC OK (0x9CAE)
[05:26.763] nrf   | <info> app: !125 
[05:26.763] nrf   | <info> app: NUS TX Ready
            ... 563 per-packet lines ...
[05:35.332] app   | TX Hex: 414920736c6f7473
[05:35.382] app   | Written AI slots to the device WILD-CNKW (22:31:49-895)
[05:35.382] app   | [useBleListeners] RAW_TX received for D6:47:9B:89:E7:23: AI slots
            ... 32 per-packet lines ...
[05:35.846] himax | Issuing deferred event 0x0700 'I2C Rx'
[05:35.846] himax | IFTask sending event 0x0700. Tx data = 0x00000000
[05:35.846] himax | IF Task received event 'Binary Continues' (0x0706). Rx data = 0x3000ea30
[05:35.846] himax | Assert inter-processor interrupt.
[05:35.846] himax | Sending 247 bytes: Header 4, payload 241, checksum 2
[05:35.846] himax | Negate inter-processor interrupt.
[05:35.846] himax | IF Task state changed from 'Idle' (1) to 'I2C TX State' (3)
[05:35.846] himax | IF Task received event 'I2C Rx' (0x0700). Rx data = 0x00000000
[05:35.846] himax | Deferring event 0x0700
[05:35.913] nrf   | <info> app: NUS TX Ready
[05:35.913] nrf   | BLE in: Received   8 bytes 'AI slots'
[05:35.913] nrf   | BLE out: Sent 244 bytes: '[binary]'
[05:35.913] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[05:35.913] nrf   | Sending 'slots' to AI processor (4 ctrl bytes, 5 payload, 2 CRC)<info> app: AI state changed from IDLE to PROCESSING
[05:35.913] nrf   | <info> app: I2C TX complete: 11 bytes.
[05:35.913] nrf   | <info> app: DEBUG: we waited 16ms for BLE transfer.
[05:35.913] nrf   | <info> app: I2C RX payload 241/250 bytes. Response type is 6. CRC OK (0x2E6C)
[05:35.913] nrf   | <info> app: !166 
[05:35.913] nrf   | BLE binary: Sending 241 byte binary payload (packet type 6, packet num 1): 
[05:35.913] nrf   | BLE out: Failed to send 244 bytes: '[binary]'
[05:35.913] nrf   | <info> app: NUS TX Ready
[05:35.913] nrf   | BLE out: Sent 244 bytes: '[binary]'
[05:35.913] nrf   | <info> app: DEBUG: we waited 3ms for BLE transfer.
[05:35.913] nrf   | <info> app: I2C RX payload 241/250 bytes. Response type is 6. CRC OK (0xF20F)
[05:35.913] nrf   | <info> app: !167 
[05:35.913] nrf   | BLE binary: Sending 241 byte binary payload (packet type 6, packet num 2): 
[05:35.913] nrf   | BLE out: Failed to send 244 bytes: '[binary]'
[05:36.147] himax | IF Task received event 'I2C Tx' (0x0701). Rx data = 0x00000000
[05:36.147] himax | I2C transmission complete.
            ... 18 per-packet lines ...
[05:36.147] himax | Negate inter-processor interrupt.
[05:36.147] himax | IF Task state changed from 'Idle' (1) to 'I2C TX State' (3)
[05:36.213] nrf   | <info> app: NUS TX Ready
[05:36.213] nrf   | BLE out: Sent 244 bytes: '[binary]'
[05:36.213] nrf   | <info> app: DEBUG: we waited 16ms for BLE transfer.
[05:36.213] nrf   | <info> app: I2C RX payload 241/250 bytes. Response type is 6. CRC OK (0xA562)
[05:36.213] nrf   | <info> app: !168 
[05:36.213] nrf   | BLE binary: Sending 241 byte binary payload (packet type 6, packet num 3): 
[05:36.213] nrf   | BLE out: Failed to send 244 bytes: '[binary]'
[05:36.213] nrf   | <info> app: NUS TX Ready
[05:36.318] app   | ImageReassembler: Sequence gap — expected 44, got 1 (213 total gaps)
[05:36.462] himax | IF Task received event 'I2C Rx' (0x0700). Rx data = 0x00000000
[05:36.462] himax | Deferring event 0x0700
[05:36.462] himax | IF Task received event 'I2C Tx' (0x0701). Rx data = 0x00000000
[05:36.462] himax | I2C transmission complete.
[05:36.462] himax | IF Task state changed from 'I2C TX State' (3) to 'Idle' (1)
[05:36.462] himax | Issuing deferred event 0x0700 'I2C Rx'
[05:36.462] himax | IFTask sending event 0x0700. Tx data = 0x00000000
[05:36.462] himax | IF Task received event 'Binary Continues' (0x0706). Rx data = 0x3000ea30
[05:36.462] himax | Assert inter-processor interrupt.
[05:36.462] himax | Sending 247 bytes: Header 4, payload 241, checksum 2
            ... 748 per-packet lines ...
[05:45.361] himax | IF Task state changed from 'Idle' (1) to 'I2C TX State' (3)
[05:45.361] himax | IF Task received event 'I2C Rx' (0x0700). Rx data = 0x00000000
[05:45.361] himax | Deferring event 0x0700
[05:45.680] nrf   | <info> app: NUS TX Ready
[05:45.680] nrf   | BLE out: Sent 244 bytes: '[binary]'
[05:45.680] nrf   | <info> app: DEBUG: we waited 83ms for BLE transfer.
[05:45.680] nrf   | <info> app: I2C RX payload 241/250 bytes. Response type is 6. CRC OK (0x6898)
[05:45.680] nrf   | <info> app: !209 
[05:45.680] nrf   | BLE binary: Sending 241 byte binary payload (packet type 6, packet num 44): 
[05:45.680] nrf   | BLE out: Failed to send 244 bytes: '[binary]'
[05:45.680] nrf   | <info> app: AI State machine scheduler called with event 15 'Response timeout'
[05:45.680] nrf   | <info> app: AI state machine bumped with 'Response timeout' (Current state: PROCESSING)
[05:45.680] nrf   | <info> app: AI processor response timeout - recovering to IDLE
[05:45.680] nrf   | <info> app: AI state changed from PROCESSING to IDLE
[05:45.680] nrf   | BLE out: Failed to send 244 bytes: '[binary]'
[05:45.978] himax | IF Task received event 'I2C Tx' (0x0701). Rx data = 0x00000000
[05:45.978] himax | I2C transmission complete.
[05:45.978] himax | IF Task state changed from 'I2C TX State' (3) to 'Idle' (1)
[05:45.978] himax | Issuing deferred event 0x0700 'I2C Rx'
[05:45.978] himax | IFTask sending event 0x0700. Tx data = 0x00000000
[05:45.978] himax | IF Task received event 'Binary Continues' (0x0706). Rx data = 0x3000ea30
[05:45.978] himax | Assert inter-processor interrupt.
[05:45.978] himax | Sending 247 bytes: Header 4, payload 241, checksum 2
            ... 398 per-packet lines ...
[05:50.579] himax | Sending 108 bytes: Header 4, payload 102, checksum 2
            ... 10 per-packet lines ...
[05:50.879] nrf   | BLE out: Failed to send 244 bytes: '[binary]'
[05:50.879] nrf   | <info> app: NUS TX Ready
[05:50.879] nrf   | BLE out: Sent 244 bytes: '[binary]'
[05:50.879] nrf   | <info> app: DEBUG: we waited 16ms for BLE transfer.
[05:50.879] nrf   | <info> app: I2C RX payload 102/250 bytes. Response type is 6. CRC OK (0xD549)
[05:50.879] nrf   | <info> app: !232 
[05:50.879] nrf   | BLE binary: Sending 102 byte binary payload (packet type 6, packet num 67): 
[05:50.879] nrf   | BLE out: Failed to send 105 bytes: '[binary]'
[05:50.879] himax | IF Task received event 'I2C Tx' (0x0701). Rx data = 0x00000000
[05:50.879] himax | I2C transmission complete.
[05:50.879] himax | Finished sending 26371 bytes (110 packets)
[05:50.879] himax | IF Task state changed from 'I2C TX State' (3) to 'Idle' (1)
[05:50.879] himax | Issuing deferred event 0x0700 'I2C Rx'
[05:50.879] himax | IFTask sending event 0x0700. Tx data = 0x00000000
[05:50.879] himax | IF Task received event 'String Continues' (0x0704). Rx data = 0x3000ea30
[05:50.879] himax | Assert inter-processor interrupt.
[05:50.879] himax | Sending 48 bytes: Header 4, payload 42, checksum 2 'Finished sending 26371 bytes (110 packets)'
[05:50.879] himax | Negate inter-processor interrupt.
[05:50.879] himax | IF Task state changed from 'Idle' (1) to 'I2C TX State' (3)
[05:50.879] himax | IF Task received event 'I2C Rx' (0x0700). Rx data = 0x00000000
[05:50.879] himax | Deferring event 0x0700
[05:51.195] nrf   | <info> app: NUS TX Ready
[05:51.195] nrf   | BLE out: Sent 105 bytes: '[binary]'
[05:51.195] nrf   | <info> app: DEBUG: we waited 38ms for BLE transfer.
[05:51.195] nrf   | <info> app: I2C RX payload 42/250 bytes. Response type is 4. CRC OK (0x57F9)
[05:51.195] nrf   | <info> app: !233 
[05:51.195] nrf   | <info> app: AI state machine bumped with 'Msg from AI' (Current state: IDLE)
[05:51.195] nrf   | BLE out: Failed to send  28 bytes: 'AI processor not responding'
[05:51.195] nrf   | BLE out: Failed to send  28 bytes: 'AI processor not responding'
[05:51.195] nrf   | <info> app: I2C RX payload 115/250 bytes. Response type is 4. CRC OK (0x5068)
[05:51.195] nrf   | <info> app: AI state machine bumped with 'Msg from AI' (Current state: IDLE)
[05:51.195] nrf   | BLE out: Failed to send  28 bytes: 'AI processor not responding'
[05:51.195] nrf   | BLE out: Failed to send  28 bytes: 'AI processor not responding'
[05:51.195] nrf   | <info> app: NUS TX Ready
[05:51.195] nrf   | BLE out: Sent  28 bytes: 'AI processor not responding'
[05:51.195] nrf   | BLE out: Failed to send  43 bytes: 'Finished sending 26371 bytes (110 packets)'
[05:51.195] nrf   | BLE out: Failed to send  43 bytes: 'Finished sending 26371 bytes (110 packets)'
[05:51.195] himax | IF Task received event 'I2C Tx' (0x0701). Rx data = 0x00000000
[05:51.195] himax | I2C transmission complete.
[05:51.195] himax | IF Task state changed from 'I2C TX State' (3) to 'Idle' (1)
[05:51.195] himax | Issuing deferred event 0x0700 'I2C Rx'
[05:51.195] himax | IFTask sending event 0x0700. Tx data = 0x00000000
[05:51.195] himax | IF Task received event 'I2C Rx' (0x0700). Rx data = 0x00000000
[05:51.195] himax | Received I2C message.
[05:51.195] himax | MKL62BA command received: 'slots'
[05:51.195] himax | IF Task state changed from 'Idle' (1) to 'I2C RX State' (2)
[05:51.195] himax | Flash ID 0xEF initialised
[05:51.195] himax | Active slot 1 running 'RP3 (day/colour)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off
[05:51.195] himax | IF Task received event 'String Response' (0x0703). Rx data = 0x3000ea30
[05:51.195] himax | Assert inter-processor interrupt.
[05:51.195] himax | Sending 121 bytes: Header 4, payload 115, checksum 2 'Active slot 1 running 'RP3 (day/colour)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off'
[05:51.195] himax | Negate inter-processor interrupt.
[05:51.195] himax | IF Task state changed from 'I2C RX State' (2) to 'I2C TX State' (3)
[05:51.195] himax | IF Task received event 'I2C Tx' (0x0701). Rx data = 0x00000000
[05:51.195] himax | I2C transmission complete.
[05:51.195] himax | IF Task state changed from 'I2C TX State' (3) to 'Idle' (1)
[05:51.372] app   | ImageReassembler: Transfer complete! Received 26371/26371 (213 gaps)
[05:51.382] app   | ImageReassembler: Image has 213 sequence gaps — may be corrupt
[05:51.486] app   | ImageReassembler: Image saved to file:///data/user/0/com.wildlife.wildlifewatcher.expo/cache/capture_1788431525984.jpg [SUCCESS] [213 gaps] (26371/26371 bytes)
[05:51.486] app   | [BleTransport] Image stream ended (image saved); 0 command(s) waiting
[05:51.496] nrf   | <info> app: NUS TX Ready
[05:51.496] nrf   | BLE out: Sent  43 bytes: 'Finished sending 26371 bytes (110 packets)'
[05:51.496] nrf   | BLE out: Sent 116 bytes: 'Active slot 1 running 'RP3 (day/colour)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off'
[05:51.531] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: AI processor not responding
[05:51.712] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Finished sending 26371 bytes (110 packets)
[05:51.809] nrf   | <info> app: NUS TX Ready
[05:51.809] nrf   | <info> app: NUS TX Ready
[05:51.809] nrf   | <info> app: NUS TX Ready
[05:51.809] nrf   | <info> app: NUS TX Ready
[05:51.829] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Active slot 1 running 'RP3 (day/colour)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off
[05:52.113] himax | Inactive for 1000ms
[05:52.113] himax | IMAGE Task received event 'Image Event Inactivity' (0x0a00). Rx data = 0x00000000
[05:52.113] himax | IMAGE Task state changed from 'Init' (1) to 'Save State' (5)
[05:52.113] himax | FatFS Task received event 'Save State' (0x0904). Rx data = 0x00000000
[05:52.113] himax | Saved state to SD card. Image sequence number = 27
[05:52.113] himax | FatFS task sending event 0x0a06. Tx data = 0x00000000
[05:52.113] himax | IMAGE task sending event 0x0904. Rx data = 0x00000000
[05:52.113] himax | IMAGE Task received event 'Image Event Disk Write Complete' (0x0a06). Rx data = 0x00000000
[05:52.113] himax | Image task ready to sleep.
[05:52.113] himax | IMAGE Task state changed from 'Save State' (5) to 'Uninitialised' (0)
            ... 2 per-packet lines ...
[05:52.113] himax | Sending 98 bytes: Header 4, payload 92, checksum 2 'Sleep 27 0 0 10 94 1 500 0 1000 89 1 0 100 0 0 0 18 1 0 20 0 2 50 65 15 0 0 286 326 1 110 1 '
            ... 4 per-packet lines ...
[05:52.113] himax | IF task ready to sleep.
[05:52.113] himax | DEBUG: ledFlashDisable()
[05:52.113] himax | Preparing HM0360 for MD:   HM0360 Motion Detection off.
[05:52.113] himax |    Inhibiting MD
[05:52.113] himax |    Changing mode from 2 to 2 with nFrames=1, sleepTime=0 sleepCount = 0xffff
[05:52.113] himax |  No LED flashes.
[05:52.113] himax | >>> Entering DPD at 2024:01:01 00:00:58
            ... 1 per-packet lines ...
[05:52.313] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Sleep
            ... 1 per-packet lines ...
[05:52.414] nrf   | <info> app: AI state machine bumped with 'Sleep' (Current state: IDLE)
[05:52.414] nrf   | <info> app: AI processor sends stats: '27 0 0 10 94 1 500 0 1000 89 1 0 100 0 0 0 18 1 0 20 0 2 50 65 15 0 0 286 326 1 110 1 '
[05:52.414] nrf   | <info> app: AI state changed from IDLE to SLEEP
[05:52.414] nrf   | BLE out: Sent   6 bytes: 'Sleep'
            ... 1 per-packet lines ...
[06:50.329] app   | [BLE Heartbeat] 58s idle — sending heartbeat (get heartbeat)...
[06:50.329] app   | TX Hex: 67657420686561727462656174
[06:50.329] app   | Written get heartbeat to the device WILD-CNKW (22:33:04-849)
[06:50.344] app   | [useBleListeners] RAW_TX received for D6:47:9B:89:E7:23: get heartbeat
[06:50.513] nrf   | BLE in: Received  13 bytes 'get heartbeat'
[06:50.513] nrf   | BLE out: Sent  17 bytes: 'heartbeat is 12h'
[06:50.530] app   | [BLE Heartbeat] Heartbeat sent. Timer will reset on response.
[06:50.609] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: heartbeat is 12h
            ... 1 per-packet lines ...
[07:48.622] app   | [BLE Heartbeat] 58s idle — sending heartbeat (get heartbeat)...
[07:48.622] app   | TX Hex: 67657420686561727462656174
[07:48.629] app   | Written get heartbeat to the device WILD-CNKW (22:34:03-146)
[07:48.629] app   | [useBleListeners] RAW_TX received for D6:47:9B:89:E7:23: get heartbeat
[07:48.794] nrf   | BLE in: Received  13 bytes 'get heartbeat'
[07:48.794] nrf   | BLE out: Sent  17 bytes: 'heartbeat is 12h'
[07:48.849] app   | [BLE Heartbeat] Heartbeat sent. Timer will reset on response.
[07:48.907] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: heartbeat is 12h
            ... 1 per-packet lines ...
